superzone,original_zone
1,7
4,8
2,9
2,10
2,11
4,15
4,17
4,18
2,19
3,25
1,22
4,29
4,41
4,66
3,52
3,12
2,14
1,20
3,46
2,3
1,24
1,23
2,34
2,33
2,45
3,5
2,30
1,31
2,32
3,53
3,56
3,55
2,62
3,4
2,27
3,13
3,16
3,57
3,51
3,39
3,21
3,61
1,63
1,64
3,83
1,85
1,93
1,92
1,6
4,37
3,26
1,38
1,35
3,36
1,40
3,42
1,43
1,44
1,47
1,49
1,48
3,50
1,54
1,59
1,60
3,58
1,65
1,81
1,94
1,98
2,69
2,82
2,86
0,90
0,91
0,72
0,80
0,67
0,95
0,75
0,88
0,68
0,76
0,96
4,87
4,97
4,70
4,73
4,74
0,84
4,89
0,77
0,78
0,79
0,71
