superzone,original_zone
1,7
4,8
8,9
0,10
0,11
4,15
6,17
6,18
0,19
3,25
1,22
6,29
8,41
4,66
3,52
3,12
0,14
1,20
3,46
0,3
1,24
1,23
0,34
0,33
0,45
3,5
0,30
1,31
0,32
3,53
3,56
3,55
0,62
7,4
0,27
3,13
3,16
3,57
3,51
3,39
3,21
3,61
7,63
1,64
5,83
5,85
5,93
5,92
9,6
4,37
7,26
9,38
1,35
3,36
1,40
7,42
1,43
1,44
1,47
7,49
1,48
7,50
7,54
7,59
9,60
7,58
1,65
7,81
9,94
9,98
8,69
8,82
8,86
9,90
2,91
9,72
2,80
2,67
2,95
2,75
2,88
2,68
2,76
6,96
6,87
6,97
6,70
6,73
6,74
9,84
6,89
2,77
2,78
2,79
2,71
