id,lat,lng
0,42.349230875,-71.071886875
1,42.34839066666667,-71.12111433333334
2,42.37917083333333,-71.10028966666667
3,42.344833666666666,-71.08614944444444
4,42.311819,-71.035705
5,42.367646428571426,-71.06797142857143
6,42.370638,-71.11864977777778
7,42.335461,-71.10798714285714
8,42.356845,-71.1371172
9,42.35616507692308,-71.05675676923077
10,42.32575333333333,-71.058019
11,42.3505332,-71.0451064
12,42.33541548,-71.07750208
13,42.363496714285716,-71.09545657142857
14,42.345930714285714,-71.10133014285715
